Entity,Code,Day,05-09,10-14,15-17,18-24 ,25-49,50-59,60-69,70-79,80+,people_vaccinated_per_hundred
Austria,AUT,01-08-2021,0,,0,0,0,0,0,0,0,0.05
Austria,AUT,1/15/2021,0,0,0,0,0,0.01,0,0.01,0.02,0.84
Austria,AUT,1/22/2021,0,0,0,0.01,0.04,0.07,0.06,0.07,0.31,1.34
Austria,AUT,1/29/2021,0,0,0.01,0.1,0.25,0.37,0.25,0.23,0.98,2.55
Austria,AUT,02-05-2021,0,0,0.03,0.42,1.08,1.62,1.11,1.12,4.86,2.97
Austria,AUT,02-12-2021,0,0,0.04,0.82,2.03,2.92,1.9,1.93,9.8,3.21
Austria,AUT,2/19/2021,0,0,0.05,1.03,2.39,3.42,2.2,2.31,12.73,3.62
Austria,AUT,2/26/2021,0,0,0.06,1.16,2.65,3.79,2.46,2.5,13.38,4.65
Austria,AUT,03-05-2021,0,0,0.06,1.24,2.8,4,2.62,2.66,14.27,6.4
Austria,AUT,03-12-2021,0,0,0.07,1.29,2.93,4.2,2.8,2.95,18.22,7.78
Austria,AUT,3/19/2021,0,0,0.08,1.34,3.04,4.38,3.05,3.37,25.43,8.75
Austria,AUT,3/26/2021,0,0,0.1,1.42,3.17,4.68,3.53,4.17,40.14,9.58
Austria,AUT,04-02-2021,0,0,0.12,1.56,3.35,4.98,4.16,5.72,50.64,12.14
Austria,AUT,04-09-2021,0,0,0.36,2.3,4.23,6.16,5.91,9.36,59.5,13.52
Austria,AUT,4/16/2021,0,0,0.45,2.66,4.75,7.02,7.5,13.58,63.48,16.07
Austria,AUT,4/23/2021,0,0,0.47,2.83,5.02,7.43,8.14,16.01,67.55,20.28
Austria,AUT,4/30/2021,0,0,0.49,3.12,5.35,7.9,9.2,20.46,68.87,22.39
Austria,AUT,05-07-2021,0,0,0.53,3.73,6.11,8.92,11.35,27.22,70.88,25.83
Austria,AUT,5/14/2021,0,0.01,0.59,4.49,7.08,10.21,13.56,31.39,72.11,29.64
Austria,AUT,5/21/2021,0,0.01,0.65,5.63,8.65,12.51,17.53,37.45,75.97,32.69
Austria,AUT,5/28/2021,0,0.01,0.8,6.99,10.98,16.04,22.91,44.22,78.45,35.97
Austria,AUT,06-04-2021,0,0.01,1.01,8.65,13.64,20.28,30.67,51.33,79.88,38.77
Austria,AUT,06-11-2021,0,0.02,1.24,10.56,16.98,26.6,41.41,56.14,82.26,41.64
Austria,AUT,6/18/2021,0,0.02,1.61,12.98,20.56,33.44,50.21,60.78,84.35,45.5
Austria,AUT,6/25/2021,0,0.08,2.56,15.81,25.01,42.69,57.06,67.02,86.3,49.28
Austria,AUT,07-02-2021,0,0.26,4.31,20.68,30.74,49.97,64.67,73.82,87.76,53.46
Austria,AUT,07-09-2021,0,0.81,6.66,25.81,36.64,55.43,69.26,76.98,88.75,57.58
Austria,AUT,7/16/2021,0,1.31,9.17,30.82,42.23,60.24,73.06,78.59,89.56,62.26
Austria,AUT,7/23/2021,0,2.19,13.28,36.49,47.16,64.73,75.3,79.62,90.22,65.84
Austria,AUT,7/30/2021,0,4.41,20.38,41.89,51.64,67.38,77.18,80.5,90.81,68.59
Austria,AUT,08-06-2021,0.01,6.8,27.28,46.27,55.59,69.29,78.59,81.29,91.32,70.66
Austria,AUT,8/13/2021,0.01,8.77,32.65,49.76,58.07,70.54,79.51,81.9,91.76,73.11
Austria,AUT,8/20/2021,0.01,10.31,37.05,53.28,59.75,71.56,80.27,82.4,92.11,77.64
Austria,AUT,8/27/2021,0.01,11.26,39.16,54.74,60.7,72.16,80.72,82.72,92.35,82.3
Austria,AUT,09-03-2021,0.01,12.16,40.86,55.85,61.46,72.66,81.12,82.99,92.57,85.62
Austria,AUT,09-10-2021,0.01,12.94,42.25,56.83,62.15,73.11,81.46,83.23,92.79,87.08
Austria,AUT,9/17/2021,0.01,13.87,43.88,57.82,62.86,73.55,81.79,83.48,93.02,87.79
